Artikelnummer|Hersteller-Artikelnummer|EAN|Hersteller|Bezeichnung|Kategorie 1|HEK|Lagerbestand|Image|Deep-Link
37167141|EF-FI950BBEGWW|8806085580695|Samsung|"Samsung Flip Cover EF-FI950B schwarz fÃ¼r Samsung Galaxy S4 I9505"|hoh|13,00|1|http://admin.next.hoh.de/media/image/thumbnail//1030081_571e629de786f35c12617cd20448b86c_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1030081
37185648|OS1375|5060267882202|Oso|"OSO Universal Kfz Tablet Halterung Mount schwarz"|hoh|23,52|1|http://admin.next.hoh.de/media/image/thumbnail//1030569_cb0cd67a5cab9526e0eefbb59870201a_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1030569
37505067| |5900217053668|TPU|"SchutzhÃ¼lle TPU S-Case schwarz Samsung Galaxy S2 I9100 und Galaxy S Plus I9105"|hoh|1,23|2|http://admin.next.hoh.de/media/image/thumbnail//1029615_01312e99359e57261b6a61bd5a598522_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1029615
900000110|GIQ-GV 2500- 1|609132839542 |Schutzbrief24|"Plusgarantie bis 2500 EUR Warenwert"|hoh|92,39|40|http://admin.next.hoh.de/media/image/thumbnail//plusgarantie_2251-2500_1000x1000_720x600.jpg|http://www.hoh.de/detail/index/sArticle/571051
10264157|204-010 *|4009312040106|KWB|"HSS-Spiralbohrer 1,0mm..."|hoh|0,17|7||http://www.hoh.de/detail/index/sArticle/968461
100131544|CQ2056U|4052792023206|Logilink|"RJ45 Netzwerk Anschlusskabel CAT 6 U/UTP [1x RJ45-Stecker - 1x RJ45-Stecker] 2 m Blau Flammwidrig, m"|hoh|4,89|21|http://admin.next.hoh.de/media/image/thumbnail//1010308_60cad941e13b577e3df3ae93096e5122_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1010308
100131773|96011114|4049505038961|BOPLA|"Wand-GehÃ¤use, Installations-GehÃ¤use Polycarbonat Graphitgrau (RAL 7024) 80 x 89 x 47 Bopla 96011114 "|hoh|15,82|1|http://admin.next.hoh.de/media/image/thumbnail//1010310_8573987e971badf2ae71b3a17019d36b_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1010310
10181815|11215-01-20G|4895106267794|Sapphire|"Sapphire Grafikkarte Radeon R7 250 2GB DDR3 Boost"|hoh|75,96|16|http://admin.next.hoh.de/media/image/thumbnail//974401_6deaed4353688f1812c7e3c00817c576_720x600.jpg|http://www.hoh.de/detail/index/sArticle/974401
10183043|24822 42|4005380397913|Magma Heimtex|"Magma Heimtex 24822 42 TRIO HÃ¼lle mit ReiÃverschluss 40x40cm orange"|hoh|3,58|7||http://www.hoh.de/detail/index/sArticle/966681
10183055|24842 50|4005380397999|Magma Heimtex|"Magma Heimtex 24842 50 TRIO HÃ¼lle mit ReiÃverschluss 50x50cm rot"|hoh|4,88|3||http://www.hoh.de/detail/index/sArticle/966801
10183056|24842 55|4005380403850|Magma Heimtex|"Magma Heimtex 24842 55 TRIO HÃ¼lle mit ReiÃverschluss 50x50cm weinrot"|hoh|4,88|7||http://www.hoh.de/detail/index/sArticle/966811
10183116|25462 35|4005380403348|Magma Heimtex|"Magma Heimtex 25462 35 TURN HÃ¼lle mit ReiÃverschluss 40x40cm acqua"|hoh|10,34|3||http://www.hoh.de/detail/index/sArticle/967411
10183123|25472 42|4005380403386|Magma Heimtex|"Magma Heimtex 25472 42 TURN HÃ¼lle mit ReiÃverschluss 50x50cm orange"|hoh|12,94|1||http://www.hoh.de/detail/index/sArticle/967481
